Vital Measurement,Node 1,Node 2,Node 3,Node 4,Node 5,Diagnostic Triage,Actions
AVPU Score,Normal,Acute,Regular,Routine,Routine care,Routine,Standard care - Follow routine protocol
Sensory Function,Low,Acute,Watch,Assess,Monitor closely,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Normal,Progressive,Standard,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Mental Status,Moderate,Acute,Baseline,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Acute,Normal,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,Low,Stable,Routine,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Acute,Baseline,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Sensory Function,Low,Chronic,Routine,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Acute,Standard,Regular,Prevention,Routine,Standard care - Follow routine protocol
Pain Level,Normal,Progressive,Standard,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,Normal,Chronic,Regular,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Skin Color,Low,Chronic,Watch,Check,Reassess,Monitor,Continue monitoring - Watch for changes
Mental Status,Critical,Unstable,Standard,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Skin Color,Moderate,Acute,Standard,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Capillary Refill,High,Acute,Critical,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Critical,Chronic,Maintenance,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Low,Hypotension,Monitor,Check,Prevention,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Stable,Standard,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Progressive,Watch,Check,Reassess,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,High,Stable,Critical,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Crisis,Urgent,Critical,Rapid Response,Immediate,Red flag - Immediate intervention required
Sensory Function,Low,Unstable,Routine,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Hypothermia,Maintenance,Normal,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Progressive,Baseline,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Pre-hypertension,Standard,Standard,Prevention,Routine,Standard care - Follow routine protocol
Pupil Response,Critical,Stable,Standard,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Acute,Urgent,Urgent,Crash Cart,Immediate,Red flag - Immediate intervention required
Temperature,High,Fever,Urgent,Rescue,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Low,Progressive,Observe,Maintenance,Reassess,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Critical,Chronic,Regular,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Skin Color,Critical,Progressive,Maintenance,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Pupil Response,Normal,Unstable,Normal,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Skin Color,Critical,Stable,Maintenance,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Motor Function,Critical,Acute,Regular,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Progressive,Regular,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Hypertension,Maintenance,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Sensory Function,High,Unstable,Emergency,Regular,Prevention,Immediate,Red flag - Immediate intervention required
Capillary Refill,Low,Acute,Follow-up,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Glucose,High,Stable,Immediate,Emergency,Prevention,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Unstable,Normal,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Pre-hypertension,Baseline,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Temperature,High,Hypothermia,Immediate,Critical,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Pressure,Moderate,Normal,Standard,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Stable,Baseline,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Normal,Progressive,Maintenance,Regular,Prevention,Routine,Standard care - Follow routine protocol
Mental Status,Normal,Unstable,Standard,Regular,Standard protocol,Routine,Standard care - Follow routine protocol
Capillary Refill,Critical,Chronic,Regular,Normal,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Unstable,Immediate,Stabilize,Routine care,Immediate,Red flag - Immediate intervention required
Capillary Refill,Critical,Progressive,Standard,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Moderate,Normal,Regular,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,High,Chronic,Urgent,Rescue,Emergency Response,Immediate,Red flag - Immediate intervention required
Heart Rate,High,Tachycardia,Critical,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Skin Color,High,Chronic,Critical,Routine,Call 911,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Acute,Normal,Standard,Prevention,Routine,Standard care - Follow routine protocol
Pain Level,Low,Progressive,Routine,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Pressure,High,Pre-hypertension,Immediate,Critical,Code Blue,Immediate,Red flag - Immediate intervention required
Sensory Function,Normal,Progressive,Standard,Regular,Maintenance,Routine,Standard care - Follow routine protocol
AVPU Score,Normal,Stable,Baseline,Normal,Follow up,Routine,Standard care - Follow routine protocol
Temperature,Moderate,Subnormal,Maintenance,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Heart Rate,Moderate,Tachycardia,Baseline,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,Low,Acute,Watch,Evaluate,Document,Monitor,Continue monitoring - Watch for changes
Temperature,Moderate,Fever,Regular,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Critical,Stable,Baseline,Standard,Code Blue,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Irregular,Normal,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Chronic,Regular,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Progressive,Follow-up,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Hyperthermia,Baseline,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Progressive,Monitor,Watch,Follow protocol,Monitor,Continue monitoring - Watch for changes
Skin Color,Low,Progressive,Follow-up,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Temperature,High,Fever,Urgent,Critical,Rapid Response,Immediate,Red flag - Immediate intervention required
Heart Rate,Low,Weak,Watch,Evaluate,Document,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Stable,Resuscitation,Normal,Follow up,Immediate,Red flag - Immediate intervention required
Pupil Response,Low,Chronic,Watch,Check,Monitor closely,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Crisis,Baseline,Routine,Follow up,Routine,Standard care - Follow routine protocol
Temperature,Normal,Normal,Maintenance,Routine,Follow up,Routine,Standard care - Follow routine protocol
AVPU Score,Low,Stable,Routine,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Temperature,Moderate,Hyperthermia,Standard,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Temperature,Low,Subnormal,Routine,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,High,Chronic,Emergency,Regular,Follow up,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Unstable,Observe,Normal,Monitor closely,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Chronic,Regular,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Mental Status,Low,Stable,Monitor,Assess,Maintenance,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Stable,Maintenance,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Normal,Acute,Standard,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Motor Function,Critical,Stable,Standard,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Pupil Response,High,Progressive,Immediate,Critical,Code Blue,Immediate,Red flag - Immediate intervention required
Capillary Refill,Critical,Chronic,Maintenance,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Moderate,Normal,Standard,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Critical,Crisis,Regular,Normal,Code Blue,Immediate,Red flag - Immediate intervention required
Pain Level,Moderate,Stable,Normal,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Low,Pre-hypertension,Watch,Check,Reassess,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Unstable,Regular,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Critical,Chronic,Maintenance,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Acute,Regular,Normal,Routine care,Routine,Standard care - Follow routine protocol
Respiratory Rate,High,Acute,Critical,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Low,Hypotension,Observe,Normal,Monitor closely,Monitor,Continue monitoring - Watch for changes
Sensory Function,High,Progressive,Immediate,Critical,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Pressure,Moderate,Hypertension,Maintenance,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,High,Progressive,Immediate,Critical,Call 911,Immediate,Red flag - Immediate intervention required
Pupil Response,Low,Acute,Observe,Maintenance,Monitor closely,Monitor,Continue monitoring - Watch for changes
Heart Rate,High,Bradycardia,Immediate,Stabilize,Routine care,Immediate,Red flag - Immediate intervention required
Heart Rate,Normal,Weak,Regular,Routine,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Normal,Bradycardia,Regular,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Moderate,Progressive,Baseline,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Skin Color,High,Stable,Emergency,Normal,Maintenance,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Normal,Acute,Baseline,Regular,Follow up,Routine,Standard care - Follow routine protocol
Motor Function,Moderate,Unstable,Normal,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
AVPU Score,Critical,Acute,Baseline,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Stable,Baseline,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Motor Function,Critical,Chronic,Maintenance,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Sensory Function,High,Acute,Critical,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Skin Color,High,Chronic,Critical,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,High,Stable,Immediate,Critical,Emergency Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Critical,Chronic,Normal,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Progressive,Observe,Normal,Document,Monitor,Continue monitoring - Watch for changes
Capillary Refill,High,Unstable,Resuscitation,Standard,Prevention,Immediate,Red flag - Immediate intervention required
Temperature,High,Normal,Resuscitation,Regular,Standard protocol,Immediate,Red flag - Immediate intervention required
Capillary Refill,Normal,Acute,Maintenance,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,High,Progressive,Resuscitation,Routine,Standard protocol,Immediate,Red flag - Immediate intervention required
Motor Function,Critical,Chronic,Maintenance,Routine,Code Blue,Immediate,Red flag - Immediate intervention required
AVPU Score,Moderate,Unstable,Normal,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Normal,Maintenance,Normal,Routine care,Routine,Standard care - Follow routine protocol
Pain Level,Critical,Chronic,Standard,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Stable,Standard,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Capillary Refill,High,Chronic,Emergency,Maintenance,Prevention,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Bradycardia,Regular,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Pain Level,Normal,Progressive,Normal,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
Mental Status,High,Progressive,Urgent,Urgent,Emergency Response,Immediate,Red flag - Immediate intervention required
Temperature,High,Hyperthermia,Resuscitation,Normal,Maintenance,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Normal,Immediate,Emergency,Prevention,Immediate,Red flag - Immediate intervention required
Pain Level,Normal,Progressive,Baseline,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Sensory Function,Critical,Stable,Normal,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Pain Level,Critical,Stable,Baseline,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Mental Status,Critical,Acute,Maintenance,Maintenance,Rapid Response,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Unstable,Routine,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,Normal,Acute,Baseline,Normal,Follow up,Routine,Standard care - Follow routine protocol
Respiratory Rate,Critical,Chronic,Standard,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,High,Unstable,Critical,Routine,Code Blue,Immediate,Red flag - Immediate intervention required
Skin Color,High,Acute,Immediate,Urgent,Crash Cart,Immediate,Red flag - Immediate intervention required
Motor Function,High,Unstable,Critical,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Temperature,Critical,Subnormal,Baseline,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
AVPU Score,Low,Unstable,Follow-up,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Normal,Unstable,Normal,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Heart Rate,Critical,Normal,Normal,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Crisis,Regular,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Capillary Refill,Normal,Unstable,Regular,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Temperature,Moderate,Hypothermia,Normal,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Moderate,Stable,Baseline,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Stable,Standard,Standard,Routine care,Routine,Standard care - Follow routine protocol
AVPU Score,Low,Stable,Watch,Check,Check again,Monitor,Continue monitoring - Watch for changes
Mental Status,Moderate,Stable,Standard,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Pain Level,Critical,Unstable,Standard,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Normal,Progressive,Standard,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,Critical,Progressive,Regular,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Progressive,Normal,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Critical,Chronic,Maintenance,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Heart Rate,Moderate,Irregular,Normal,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Chronic,Regular,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Progressive,Standard,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Pain Level,Normal,Acute,Baseline,Routine,Follow up,Routine,Standard care - Follow routine protocol
Pupil Response,High,Acute,Critical,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Unstable,Maintenance,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Pre-hypertension,Baseline,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Moderate,Unstable,Normal,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Critical,Pre-hypertension,Baseline,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Unstable,Follow-up,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Pre-hypertension,Normal,Normal,Follow up,Routine,Standard care - Follow routine protocol
Blood Glucose,Critical,Acute,Normal,Standard,Code Blue,Immediate,Red flag - Immediate intervention required
Sensory Function,Normal,Acute,Normal,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Mental Status,Moderate,Acute,Normal,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Chronic,Maintenance,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
Heart Rate,Low,Irregular,Watch,Assess,Check again,Monitor,Continue monitoring - Watch for changes
Mental Status,Normal,Unstable,Normal,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Skin Color,High,Unstable,Immediate,Urgent,Call 911,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Unstable,Standard,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Motor Function,Moderate,Chronic,Standard,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Acute,Normal,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Critical,Stable,Standard,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,High,Stable,Urgent,Stabilize,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Hypotension,Emergency,Regular,Standard protocol,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Hypotension,Maintenance,Standard,Follow up,Routine,Standard care - Follow routine protocol
Capillary Refill,High,Acute,Urgent,Emergency,Code Blue,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Unstable,Regular,Regular,Follow up,Routine,Standard care - Follow routine protocol
Blood Pressure,Low,Hypotension,Observe,Regular,Monitor closely,Monitor,Continue monitoring - Watch for changes
Temperature,Moderate,Normal,Regular,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Motor Function,Moderate,Stable,Regular,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Progressive,Regular,Standard,Routine care,Routine,Standard care - Follow routine protocol
Pain Level,Normal,Stable,Standard,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Pupil Response,Moderate,Progressive,Normal,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Progressive,Regular,Routine,Prevention,Routine,Standard care - Follow routine protocol
Skin Color,Critical,Stable,Regular,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Heart Rate,Low,Normal,Monitor,Evaluate,Standard protocol,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Normal,Unstable,Maintenance,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
Pain Level,Moderate,Unstable,Standard,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Pain Level,Critical,Acute,Maintenance,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Progressive,Urgent,Urgent,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Crisis,Resuscitation,Normal,Prevention,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Acute,Normal,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Motor Function,High,Progressive,Emergency,Routine,Routine care,Immediate,Red flag - Immediate intervention required
Pupil Response,Critical,Unstable,Standard,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Pain Level,Moderate,Acute,Standard,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Chronic,Regular,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Acute,Critical,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Progressive,Baseline,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Low,Acute,Monitor,Evaluate,Prevention,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Chronic,Critical,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Mental Status,High,Stable,Critical,Routine,Call 911,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Stable,Routine,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Progressive,Watch,Watch,Follow protocol,Monitor,Continue monitoring - Watch for changes
Sensory Function,High,Chronic,Critical,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Stable,Critical,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Low,Normal,Monitor,Watch,Document,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Moderate,Stable,Standard,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Normal,Acute,Regular,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Respiratory Rate,Critical,Stable,Normal,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Capillary Refill,Normal,Progressive,Normal,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Respiratory Rate,Normal,Stable,Maintenance,Regular,Follow up,Routine,Standard care - Follow routine protocol
Mental Status,High,Unstable,Resuscitation,Standard,Maintenance,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Moderate,Acute,Maintenance,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Motor Function,Moderate,Chronic,Regular,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Moderate,Acute,Baseline,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Skin Color,Moderate,Progressive,Standard,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Acute,Normal,Routine,Prevention,Routine,Standard care - Follow routine protocol
Blood Pressure,High,Hypertension,Critical,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,High,Progressive,Emergency,Normal,Maintenance,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Hypertension,Regular,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Sensory Function,High,Progressive,Immediate,Critical,Code Blue,Immediate,Red flag - Immediate intervention required
Mental Status,High,Chronic,Resuscitation,Routine,Prevention,Immediate,Red flag - Immediate intervention required
Sensory Function,Critical,Unstable,Maintenance,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Unstable,Regular,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Acute,Regular,Standard,Routine care,Routine,Standard care - Follow routine protocol
Pupil Response,Normal,Stable,Maintenance,Routine,Routine care,Routine,Standard care - Follow routine protocol
Temperature,Critical,Normal,Normal,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Acute,Immediate,Critical,Crash Cart,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Acute,Baseline,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,High,Chronic,Critical,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Stable,Urgent,Emergency,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Stable,Normal,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Pupil Response,High,Unstable,Urgent,Urgent,Crash Cart,Immediate,Red flag - Immediate intervention required
Sensory Function,Moderate,Unstable,Regular,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Normal,Acute,Normal,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
AVPU Score,Critical,Progressive,Regular,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Motor Function,Critical,Progressive,Regular,Standard,Call 911,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Stable,Normal,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Acute,Standard,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Skin Color,Moderate,Stable,Baseline,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Capillary Refill,High,Progressive,Emergency,Standard,Standard protocol,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Hypotension,Regular,Routine,Prevention,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Moderate,Chronic,Normal,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Progressive,Follow-up,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Moderate,Chronic,Normal,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
AVPU Score,Low,Progressive,Follow-up,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Pressure,High,Crisis,Immediate,Stabilize,Standard protocol,Immediate,Red flag - Immediate intervention required
Pain Level,High,Acute,Urgent,Emergency,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,High,Progressive,Emergency,Normal,Follow up,Immediate,Red flag - Immediate intervention required
AVPU Score,Critical,Stable,Baseline,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,Low,Progressive,Follow-up,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,Normal,Acute,Maintenance,Standard,Routine care,Routine,Standard care - Follow routine protocol
Temperature,Normal,Fever,Baseline,Regular,Prevention,Routine,Standard care - Follow routine protocol
Respiratory Rate,Critical,Stable,Baseline,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Hypotension,Regular,Routine,Prevention,Routine,Standard care - Follow routine protocol
Blood Glucose,Normal,Acute,Standard,Maintenance,Routine care,Routine,Standard care - Follow routine protocol
Sensory Function,Normal,Progressive,Baseline,Normal,Maintenance,Routine,Standard care - Follow routine protocol
Skin Color,Low,Unstable,Watch,Evaluate,Reassess,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Normal,Regular,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Temperature,High,Fever,Resuscitation,Regular,Standard protocol,Immediate,Red flag - Immediate intervention required
Sensory Function,Normal,Unstable,Baseline,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Motor Function,High,Progressive,Urgent,Urgent,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Hypertension,Immediate,Stabilize,Routine care,Immediate,Red flag - Immediate intervention required
Mental Status,High,Unstable,Resuscitation,Maintenance,Maintenance,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Low,Acute,Monitor,Evaluate,Maintenance,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Tachycardia,Normal,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Sensory Function,Low,Acute,Monitor,Evaluate,Prevention,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Low,Acute,Routine,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Sensory Function,Critical,Stable,Maintenance,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,High,Chronic,Critical,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,Normal,Stable,Standard,Regular,Standard protocol,Routine,Standard care - Follow routine protocol
Capillary Refill,Normal,Acute,Standard,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Pain Level,Critical,Stable,Regular,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
